sample_1	sample_2	ANI	MASH	dDDH	population
SRR2584463	SRR2584467	90.8634	0.0145076	0.997459165154265	Ara+1
SRR2584463	SRR2584470	98.4764	0.0151342	0.9952038369304557	Ara+1
SRR2584463	SRR2584490	99.3739	0.0189299	0.9980427974947808	Ara+1
SRR2584463	SRR2584518	99.7695	0.0155619	0.997516339869281	Ara+1
SRR2584463	SRR2584508	99.739	0.0237537	0.9949494949494949	Ara+1
SRR2584463	SRR2584519	99.7264	0.0250005	0.996970096166513	Ara+1
SRR2584463	SRR2584520	96.1125	0.0124935	0.995616947801833	Ara+1
SRR2584463	SRR2584521	97.0889	0.0138485	0.9965373961218836	Ara+1
SRR2584463	SRR2584522	98.4291	0.0148187	0.9965807095027782	Ara+1
SRR2584463	SRR2086043	97.9139	0.0134525	0.9982308111050626	Ara+1
SRR2584463	SRR2086070	98.985	0.0315792	0.9966187658495351	Ara+1
SRR2584463	SRR2584524	98.5394	0.174408	0.996644670618499	Ara+1
SRR2584463	SRR2584534	99.0257	1	0.9918076310399757	Ara+1
SRR2584463	SRR22764941	98.7954	0.197292	0.9864666557965107	Ara+1
SRR2584464	SRR2584466	95.7761	0.0227107	0.9983873568779229	Ara+1
SRR2584464	SRR2584467	99.8646	0.0168391	0.9973803286496785	Ara+1
SRR2584464	SRR2584470	99.5626	0.0171265	0.9971098265895953	Ara+1
SRR2584464	SRR2584490	99.896	0.0210864	0.998044726872785	Ara+1
SRR2584464	SRR2584518	99.8656	0.0206797	0.9942850043483663	Ara+1
SRR2584464	SRR2584508	99.2146	0.0227107	0.9976768498083401	Ara+1
SRR2584464	SRR2584519	97.1498	0.0260597	0.9983477376715811	Ara+1
SRR2584464	SRR2584520	99.744	0.0202797	0.9961363322754243	Ara+1
SRR2584464	SRR2584521	99.796	0.0213613	0.9970832054037457	Ara+1
SRR2584464	SRR2584522	99.7243	0.0201478	0.9971775331639853	Ara+1
SRR2584464	SRR2086043	99.5903	0.0182524	0.9981029810298103	Ara+1
SRR2584464	SRR2086070	98.5222	0.0346987	0.9967778089100588	Ara+1
SRR2584464	SRR2584524	99.5677	0.174408	0.9935947204968945	Ara+1
SRR2584464	SRR2584534	99.6314	1	0.9620175617725137	Ara+1
SRR2584464	SRR22764941	99.7048	0.191731	0.9762966738881101	Ara+1
SRR2584466	SRR2584467	99.7958	0.0183132	0.9961128707169594	Ara+1
SRR2584466	SRR2584470	99.58	0.016782	0.9972102106290975	Ara+1
SRR2584466	SRR2584490	99.8657	0.0224204	0.9977015016855655	Ara+1
SRR2584466	SRR2584518	99.6674	0.0188675	0.9965860175152145	Ara+1
SRR2584466	SRR2584508	95.7626	0.028588	0.9981120201384519	Ara+1
SRR2584466	SRR2584519	98.9597	0.0311746	0.9981620718462824	Ara+1
SRR2584466	SRR2584520	99.4965	0.0154542	0.9964906683681608	Ara+1
SRR2584466	SRR2584521	98.6079	0.0162749	0.9978778974861248	Ara+1
SRR2584466	SRR2584522	99.4948	0.0145076	0.9980666988883519	Ara+1
SRR2584466	SRR2086043	99.2189	0.0194352	0.9988352745424293	Ara+1
SRR2584466	SRR2086070	99.7804	0.0317837	0.9985583853916387	Ara+1
SRR2584466	SRR2584524	99.0043	0.170926	0.9972998514918321	Ara+1
SRR2584466	SRR2584534	99.829	1	0.9918445121951219	Ara+1
SRR2584466	SRR22764941	99.804	0.186761	0.9687853792657286	Ara+1
SRR2584467	SRR2584470	99.8564	0.0113529	0.997424273645168	Ara+1
